Department,Category,Item Lookup Code,Description,Price
TOBACCO,45mg VAPE,7.42272E+12,FLY BAR MIAMI MINT 10PK 5K PUF,82.5
TOBACCO,60CT CIGAR,025900294236,SWISHER SWEET REG 2/99 30CT 2P,25.99
TOBACCO,60CT CIGAR,071610757783,AYC GRENADIER MINIS 25CT 5PK,26.5
TOBACCO,60CT CIGAR,025900294229,SWISHER BLUE 2/99 30CT 2PK,25.99
TOBACCO,60CT CIGAR,071610505742,DUTCH SWEET 2/99 30CT 2PK,25.99
TOBACCO,60CT CIGAR,031700901557,WHITE OWL SWEETS 2/99,25.99
TOBACCO,60CT CIGAR,025900340131,SWISHER PURPLE SWISH 2/99 60CT,25.99
TOBACCO,60CT CIGAR,031700009895,GAME GREEN 2/99 30CT,27.5
TOBACCO,60CT CIGAR,031700009833,GAME SILVER 2/99 30CT,27.5
TOBACCO,60CT CIGAR,071610496583,DUTCH JAVA FUS 2/99 60CT,25.99
TOBACCO,45mg VAPE,7.42272E+12,FLY BAR SAKURA GRAPE 10PK 5K,82.5
TOBACCO,45mg VAPE,7.42272E+12,FLY BAR PINE EXPRESS 10PK 5K,82.5
TOBACCO,45mg VAPE,7.42272E+12,FLY BAR CARIBBEAN 10PK 5K PUFF,82.5
TOBACCO,60CT CIGAR,031700232279,WHITE OWL MANGO 2/99 60ct,25.99
TOBACCO,60CT CIGAR,031700901083,WHITE OWL WHITE GRAPE 2/99 30C,25.99
TOBACCO,60CT CIGAR,025900429713,SWISHER PASSION FRUIT30PK2CT,27.5
TOBACCO,45mg VAPE,7.42272E+12,FLY BAR BLUEBERRY BBG 10PK 5K,82.5
TOBACCO,45mg VAPE,7.42272E+12,FLY BAR MELON CANTALOUPE 10PK,82.5
TOBACCO,45mg VAPE,7.42272E+12,FLY BAR BLUE RAZZ 10PK 5K PUFF,82.5
TOBACCO,45mg VAPE,7.42272E+12,FLY BAR PINE MANGO 10PK 5K PUF,82.5
TOBACCO,60CT CIGAR,025900278991,SWISHER WHITE GRAPE2/99 30C2PK,25.99
TOBACCO,60CT CIGAR,025900296339,SWISHER  TROPICAL FUSH 30PK2CT,25.99
TOBACCO,60CT CIGAR,031700900994,WHITE OWL GRAPE 2/99 30CT2PK,25.99
TOBACCO,SMOKE TOBACCO,077170460026,DRUM CAN 5OZ,31.5
TOBACCO,60CT CIGAR,031700420140,WHITE OWL SAVEON2 BLK SWT 60CT,40.99
TOBACCO,60CT CIGAR,031700234655,WHITE OWL SAVEON2 EMERALD 60CT,40.99
TOBACCO,60CT CIGAR,031700420195,WHITE OWL SAVEON2 VANILLA 60CT,40.99
TOBACCO,60CT CIGAR,031700009888,GAME BLUE 2/99 30CT,27.5
TOBACCO,60CT CIGAR,071610340749,DUTCH GOLD 2/99 30CT 2PK,25.99
TOBACCO,60CT CIGAR,031700901304,WHITE OWL STRAWBERRY 2/99,25.99
TOBACCO,60CT CIGAR,025900453381,SWISHER WILD RUSH 2/99 30CT,25.99
TOBACCO,60CT CIGAR,071610505704,DUTCH SWEET SAVE ON 2 30CT 2PK,40.99
TOBACCO,60CT CIGAR,025900294250,SWISHER STRAWBERY2/99 30PK 2CT,25.99
TOBACCO,60CT CIGAR,025900297411,SWISHER BLK SMOOTH 2/99 15CT,13.5
TOBACCO,60CT CIGAR,031700235164,GAME DIAMOND 2/99 30CT 2PK,27.5
TOBACCO,60CT CIGAR,031700901885,WHITE OWL GREEN SWEET 2/99,25.99
TOBACCO,60CT CIGAR,025900287054,SWISHER  SUMMER TWIST 30PK2CT,25.99
TOBACCO,60CT CIGAR,025900299279,SWISHER  TWISTED BERRY 30PK2CT,25.75
TOBACCO,60CT CIGAR,031700420072,WHITE OWL VANILLA 99c 60CT,27.5
TOBACCO,60CT CIGAR,031700009857,GAME BLACK 2/99 30CT,27.5
TOBACCO,60CT CIGAR,031700233467,GAME WHITE PEACH 2/99 30CT,27.5
TOBACCO,60CT CIGAR,031700232361,GAME BLK CHERRY 2/99 30CT  2PK,27.5
TOBACCO,60CT CIGAR,025900327637,SWISHER STICKY 2/99 30PK2CT,25.99
TOBACCO,60CT CIGAR,031700009864,GAME GRAPE 2/99 30CT 2PK,27.5
TOBACCO,MOIST SNUFF,073100030550,COPENHAGEN WINTRGRN PCH4.10oz ,24.75
TOBACCO,MOIST SNUFF,073100025891,COPENHAGEN WINTERGRN LONGCUT,24.75
TOBACCO,60CT CIGAR,025900426835,SWISHER COSTAL 2/99 30CT 2PK,25.99
